"","ID","EntrezGeneID","ORF","GB_ACC","PROBE_DERIVED_FROM_TRANSCRIPT","SPOT_ID","RosettaGeneModelID"
"3470","10025905041","8856","NR1I2","NM_033013","NM_033013","","HSG00225866"
"3471","10023837485","3263","HPX","NM_000613","NM_000613","","HSG00274115"
"3472","10025903613","23400","ATP13A2","NM_022089","NM_022089","","HSG00205935"
"3473","10025928886","","","XM_170068","XM_170068","","HSG00367761"
"3474","10023810479","3134","HLA-F","NM_018950","non-public","","HSG00243474"
"3475","10025913880","","","CA395979","non-public","","HSG00232790"
"3476","10025920834","","","AV652383","non-public","","HSG00427882"
"3477","10023828148","153346","","AI339981","AI339981_RC","","HSG00233434"
"3478","10025906831","9457","FHL5","NM_020482","NM_020482","","HSG00242008"
"3479","10025913851","","","AF086457","AF086457","","HSG00252568"
"3480","10023822469","388701","C1orf189","NM_001010979","non-public","","HSG00201188"
"3481","10031919954","","","NM_080925","non-public","","HSG00315453"
"3482","10025911553","839","CASP6","NM_032992","NM_032992","","HSG00229581"
"3483","10025904494","868","CBLB","NM_170662","NM_170662","","HSG00226007"
"3484","10023805746","10106","CTDSP2","NM_005730","NM_005730","","HSG00277008"
"3485","10025923566","","","","non-public","RosettaGeneID: HSG00362653","HSG00362653"
"3486","10023849268","56160","NDNL2","NM_138704","NM_138704","","HSG00291347"
"3487","10025903626","10535","RNASEH2A","NM_006397","NM_006397","","HSG00307084"
"3488","10023818706","2845","GPR22","NM_005295","NM_005295","","HSG00251409"
"3489","10023845853","","","AB019567","AB019567","","HSG00210620"
"3490","10023841184","79140","CCDC28B","NM_024296","NM_024296","","HSG00205776"
"3491","10025915832","","","BM716971","non-public","","HSG00288915"
"3492","10025913813","256380","SCML4","AK074125","AK074125","","HSG00242064"
"3493","10031920097","6606","SMN1","BC000908","BC000908","","HSG00236950"
"3494","10025912798","10969","EBNA1BP2","NM_006824","NM_006824","","HSG00205850"
"3495","10023813779","2644","GCHFR","NM_005258","NM_005258","","HSG00289569"
"3496","10023815293","163404","","AF131783","AF131783","","HSG00208943"
"3497","10023812182","57244","","AB007977","AB007977","","HSG00208564"
"3498","10023837087","","","AL157495","AL157495","","HSG00403300"
"3499","10025927761","","","BG191807","non-public","","HSG00268135"
"3500","10019975533","","","BG987284","non-public","","HSG00226342"
"3501","10023849816","79754","ASB13","NM_024701","NM_024701","","HSG00267754"
"3502","10025912083","84310","","NM_032350","NM_032350","","HSG00250478"
"3503","10025924581","","","AA927184","non-public","","HSG00381059"
"3504","10025911034","27106","ARRDC2","NM_015683","NM_015683","","HSG00307112"
"3505","10025906147","54537","FAM35A","NM_019054","NM_019054","","HSG00269727"
"3506","10023841550","283174","","AF086052","AF086052","","HSG00273665"
"3507","10025923615","","","AL162075","non-public","","HSG00246578"
"3508","10033668534","2099","ESR1","NM_000125","NM_000125","","HSG00242656"
"3509","10023837319","170958","ZNF525","AB075859","AB075859","","HSG00308672"
"3510","10025911013","25886","WDR51A","NM_015426","NM_015426","","HSG00221643"
"3511","10025905003","5027","P2RX7","NM_002562","NM_002562","","HSG00277807"
"3512","10023821100","51156","SERPINA10","NM_016186","NM_016186","","HSG00288070"
"3513","10025903531","5049","PAFAH1B2","NM_002572","NM_002572","","HSG00274203"
"3514","10025912892","7941","PLA2G7","NM_005084","NM_005084","","HSG00242939"
"3515","10025926486","","","AK055048","AK055048","","HSG00255070"
"3516","10023826189","178","AGL","NM_000642","NM_000642","","HSG00201255"
"3517","10023827062","122809","SOCS4","NM_199421","non-public","","HSG00287186"
"3518","10031920732","","","AF359417","non-public","","HSG00273340"
"3519","10025929745","","","AL832616","AL832616","","HSG00283026"
"3520","10025912245","5725","PTBP1","NM_175847","NM_175847","","HSG00306232"
"3521","10023850820","84225","ZMYND15","NM_032265","NM_032265","","HSG00298102"
"3522","10025919449","","","BM144605","non-public","","HSG00404549"
"3523","10031920127","7560","ZNF13","X52336","X52336","","HSG00309422"
"3524","10023825067","5914","RARA","NM_000964","NM_000964","","HSG00302764"
"3525","10023816124","51104","C9orf77","T90485","T90485_RC","","HSG00263091"
"3526","10023825142","8936","WASF1","NM_003931","NM_003931","","HSG00244548"
"3527","10023814194","164","AP1G1","NM_001030007","non-public","","HSG00294329"
"3528","10023834188","10018","BCL2L11","AK027160","AK027160","","HSG00212571"
"3529","10025923622","283403","","BC038743","BC038743","","HSG00279546"
"3530","10023810400","","","BC047922","non-public","","HSG00402738"
"3531","10023806905","2273","FHL1","NM_001449","NM_001449","","HSG00254299"
"3532","10023810825","89890","KBTBD6","NM_152903","non-public","","HSG00284549"
"3533","10025905604","339883","C3orf35","NM_178340","NM_178340","","HSG00219649"
"3534","10025927876","","","AA594394","non-public","","HSG00222512"
"3535","10025910497","285456","","NM_182591","NM_182591","","HSG00227775"
"3536","10023809021","3818","KLKB1","NM_000892","NM_000892","","HSG00228956"
"3537","10023841644","58517","RBM25","L40392","L40392","","HSG00287144"
"3538","10025919317","","","XM_062457","XM_062457","","HSG00378595"
"3539","10023813588","22849","CPEB3","NM_014912","NM_014912","","HSG00269148"
"3540","10025933167","","","AK092065","AK092065","","HSG00284646"
"3541","10031920757","3494","IGHA2","","non-public","ENSEMBLE: ENST00000322032","HSG00354375"
"3542","10025903168","79873","NUDT18","NM_024815","NM_024815","","HSG00257873"
"3543","10023816488","23545","ATP6V0A2","NM_012463","NM_012463","","HSG00277024"
"3544","10025908289","9495","AKAP5","NM_004857","NM_004857","","HSG00287985"
"3545","10023816204","3990","LIPC","NM_000236","NM_000236","","HSG00291353"
"3546","10025910069","170850","KCNG3","NM_172344","NM_172344","","HSG00211935"
"3547","10025922368","","","BM992182","non-public","","HSG00403082"
"3548","10025902610","2491","FSHPRH1","NM_006733","NM_006733","","HSG00254259"
"3549","10023824947","125893","","NM_001031665","non-public","","HSG00308691"
"3550","10025924364","","","AW589664","non-public","","HSG00294347"
"3551","10025928727","","","N57518","non-public","","HSG00330645"
"3552","10023836262","80254","CEP63","NM_025180","NM_025180","","HSG00220258"
"3553","10025904294","6632","SNRPD1","NM_006938","NM_006938","","HSG00303996"
"3554","10026390632","1421","CRYGD","NM_006891","NM_006891","","HSG00214053"
"3555","10025919953","","","XM_100851","XM_100851","","HSG00362410"
"3556","10025902923","56971","CEACAM19","NM_020219","NM_020219","","HSG00308256"
"3557","10025903797","157680","VPS13B","NM_017890","NM_017890","","HSG00258462"
"3558","10033668582","5265","SERPINA1","NM_000295","NM_000295","","HSG00288718"
"3559","10025930539","","","XM_172598","XM_172598","","HSG00361373"
"3560","10023806539","","","BC045805","non-public","","HSG00245808"
"3561","10025933220","","","AK096286","AK096286","","HSG00297465"
"3562","10025927920","","","AA825618","non-public","","HSG00273852"
"3563","10031920382","403277","OR5K3","NM_001005516","NM_001005516","","HSG00353865"
"3564","10023845311","57670","","AB046769","AB046769","","HSG00245389"
"3565","10025910094","57409","MIF4GD","NM_020679","NM_020679","","HSG00302293"
"3566","10023815542","51319","RSRC1","NM_016625","NM_016625","","HSG00222142"
"3567","10023836015","","","","non-public","ENSEMBLE: ENST00000295790","HSG00204981"
"3568","10023833603","84976","DISP1","NM_032890","NM_032890","","HSG00317320"
"3569","10025929584","","","XM_210222","XM_210222","","HSG00372674"
"3570","10025905814","89927","C16orf45","NM_033201","NM_033201","","HSG00295969"
"3571","10025913281","6915","TBXA2R","NM_001060","NM_001060","","HSG00306637"
"3572","10025907350","286554","BCORL2","NM_173700","NM_173700","","HSG00312964"
"3573","10025912553","55502","HES6","NM_018645","NM_018645","","HSG00217044"
"3574","10023835119","64762","FAM59A","NM_022751","NM_022751","","HSG00303811"
"3575","10025915325","","","AA007272","non-public","","HSG00223255"
"3576","10025933181","","","BF766294","non-public","","HSG00203464"
"3577","10023830468","","","W24585","non-public","","HSG00217074"
"3578","10025902650","79786","C16orf44","NM_024731","NM_024731","","HSG00295794"
"3579","10023804764","3606","IL18","NM_001562","NM_001562","","HSG00274216"
"3580","10025912581","9100","USP10","NM_005153","NM_005153","","HSG00295033"
"3581","10025905476","6444","SGCD","NM_172244","NM_172244","","HSG00236982"
"3582","10023844206","91664","","","non-public","ENSEMBLE: ENST00000291738","HSG00308058"
"3583","10025904500","337966","KRTAP6-1","NM_181602","NM_181602","","HSG00315992"
"3584","10025912619","57125","PLXDC1","NM_020405","NM_020405","","HSG00301422"
